date,social,meetings,portfolio,linkedIn,behavior questions,gamejam,french,english,leetcode,minor projects,understand JD,language and API,classes and homework,major projects code,major project design,workout,drawing,other activites
9/4/2024,,,,,,,,,,,,,,,,,,
9/5/2024,,,,,,,,,,,,,,,,,,
9/6/2024,,,,,,,,,,,,,,,,,,
